D & B Used Cars|111 Old Benbrook Rd|817-555-5555
10112|1993|Ford|Explorer|SUV|Red|525123|995.0
37846|2001|Ford|Ranger|truck|Yellow|172544|1995.0
44901|2012|Honda|Civic|SUV|Gray|103221|6995.0
55231|2018|Toyota|Camry|Sedan|Black|45211|15995.0
66342|2015|Chevrolet|Malibu|Sedan|White|88734|10495.0
77453|2020|Nissan|Altima|Sedan|Blue|28112|18995.0
88564|2017|Jeep|Cherokee|SUV|Silver|67220|17495.0
99675|2014|BMW|328i|Sedan|Red|95431|13995.0
10786|2019|Hyundai|Elantra|Sedan|Gray|33455|14995.0
21897|2016|Toyota|Tacoma|Truck|Green|78211|21995.0
32908|2021|Kia|Sportage|SUV|White|19876|22995.0
54120|2022|Tesla|Model 3|Sedan|Black|12450|34995.0
12345|2023|Honda|Civic|Sedan|White|2|30000.0
